formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C10H24N2O2	[M + H]+	C10H25N2O2+	Fatty acids	0.684	Ornithine alkaloids	0.045	Sphingoid bases	0.153	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.998	Alkanolamines	0.963	1,2-aminoalcohols	0.933	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Trialkylamines; Amines; Secondary amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	205.191	28	0.460	666527004035472731	666526494008101430	324	
1	C6H14N3O3S	[M + Na]+	C6H14N3NaO3S+	Amino acids and Peptides	0.973	Small peptides	0.769	Aminoacids	0.641	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.982	Amino acids, peptides, and analogues	0.930	Amino acids and derivatives	0.929	Alpha amino acids	0.558	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231.065	28	0.462	666527021215343621	666526501956307765	305	
1	C5H7Cl2FN2O3S3	[M + Na]+	C5H7Cl2FN2NaO3S3+	Alkaloids	0.279	Oligopeptides	0.030	Imidazole alkaloids	0.027	Organohalogen compounds	0.992	Aryl halides	0.582					Aryl halides	0.582	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Alkyl chlorides; Sulfonyls; Organochlorides; Organofluorides; Organosulfonamides; Aryl halides; Alkyl halides; Aminosulfonyl compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic sulfonamides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	350.887	28	0.464	666527020846244669	666526520759374127	440	
1	C10H22N2O3	[M + H]+	C10H23N2O3+	Fatty acids	0.499	Fatty amides	0.270	N-acyl amines	0.266	Lipids and lipid-like molecules	0.696	Fatty Acyls	0.642					Fatty Acyls	0.642	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Amines; Primary amines; Alkanolamines; Fatty Acyls; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	219.170	28	0.470	666527020837856048	666526499813018301	360	
1	C10H26N4	[M + H]+	C10H27N4+	Alkaloids	1.000	Ornithine alkaloids	1.000	Polyamines	1.000	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	1.000	Secondary amines	0.974	Dialkylamines	0.969	Organic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	203.223	28	0.474	666527004555566494	666526493626419741	544	
1	C6H14N3O4	[M + Na]+	C6H14N3NaO4+	Amino acids and Peptides	0.981	Small peptides	0.987	Aminoacids	0.979	Organic acids and derivatives	0.983	Carboxylic acids and derivatives	0.980	Amino acids, peptides, and analogues	0.951	Amino acids and derivatives	0.949	Alpha amino acids	0.777	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic 1,3-dipolar compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	215.088	29	0.476	666527018098974945	666526495107009153	301	
1	C7H9N2O3P	[M + Na]+	C7H9N2NaO3P+	Alkaloids	0.788	Pseudoalkaloids (transamidation)	0.265	Pyridine alkaloids	0.216	Organic acids and derivatives	0.972	Organic phosphonic acids and derivatives	0.938	Organic phosphonic acids	0.726			Organic phosphonic acids	0.726	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	223.025	29	0.479	666527019772502586	666526500492495579	486	
1	C2H13N6OP	[M + H]+	C2H14N6OP+	Alkaloids	0.840	Guanidine alkaloids	0.188	Polyamines	0.298	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.984					Organonitrogen compounds	0.984	Organic compounds; Organonitrogen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	169.096	29	0.481	666527021240509500	666526487662119133	354	
1	C6H8N4O3	[M + H]+	C6H9N4O3+	Alkaloids	0.600	Small peptides	0.673	Aminoacids	0.631	Organic 1,3-dipolar compounds	0.530	Allyl-type 1,3-dipolar organic compounds	0.562	Organic nitro compounds	0.590			Organic nitro compounds	0.590	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	185.069	29	0.483	666527004685589938	666526490610714990	536	
1	C10H20N2O6	[M + H]+	C10H21N2O6+	Amino acids and Peptides	0.794	Small peptides	0.773	Dipeptides	0.142	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.964	Amino acids and derivatives	0.963	Alpha amino acids	0.800	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Alkanolamines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.140	29	0.484	666527027783625394	666526507488595216	548	
