"component","deltamz","deltamz_int","EdgeScore","EdgeType","interaction","matched_peaks","name","scan1","scan2","score","selected","shared interaction","shared name"
"2144","15.995","15","0.7276","Cosine","-","0","20149 (-) 26472","20149","26472","0.7276","false","-","20149 (-) 26472"
"85","-112.125","-112","0.8935","Cosine","-","0","43014 (-) 40019","43014","40019","0.8935","false","-","43014 (-) 40019"
"1933","-72.055","-72","0.8498","Cosine","-","0","17628 (-) 17617","17628","17617","0.8498","false","-","17628 (-) 17617"
"125","3.995","3","0.8981","Cosine","-","0","42442 (-) 36371","42442","36371","0.8981","false","-","42442 (-) 36371"
"630","-0.0","0","0.812","Cosine","-","0","24000 (-) 28544","24000","28544","0.812","false","-","24000 (-) 28544"
"531","-132.078","-132","0.8383","Cosine","-","0","12734 (-) 11756","12734","11756","0.8383","false","-","12734 (-) 11756"
"343","-42.01","-42","0.928","Cosine","-","0","29115 (-) 33115","29115","33115","0.928","false","-","29115 (-) 33115"
"630","0.003","0","0.9479","Cosine","-","0","7702 (-) 24000","7702","24000","0.9479","false","-","7702 (-) 24000"
"630","0.003","0","0.8193","Cosine","-","0","7702 (-) 28544","7702","28544","0.8193","false","-","7702 (-) 28544"
"138","-222.054","-222","0.7352","Cosine","-","0","23166 (-) 43387","23166","43387","0.7352","false","-","23166 (-) 43387"
"714","-0.008","0","0.8447","Cosine","-","0","25221 (-) 15146","25221","15146","0.8447","false","-","25221 (-) 15146"
"1725","74.0","74","0.8858","Cosine","-","0","6646 (-) 8511","6646","8511","0.8858","false","-","6646 (-) 8511"
"244","-1084.634","-1084","0.9788","Cosine","-","0","25684 (-) 22254","25684","22254","0.9788","false","-","25684 (-) 22254"
"1","-14.016","-14","0.8558","Cosine","-","0","38414 (-) 35939","38414","35939","0.8558","false","-","38414 (-) 35939"
"138","-74.019","-74","0.8192","Cosine","-","0","42939 (-) 43286","42939","43286","0.8192","false","-","42939 (-) 43286"
"138","-74.017","-74","0.7361","Cosine","-","0","42939 (-) 23166","42939","23166","0.7361","false","-","42939 (-) 23166"
"46","-0.005","0","0.8732","Cosine","-","0","28526 (-) 9617","28526","9617","0.8732","false","-","28526 (-) 9617"
"183","-116.08","-116","0.8277","Cosine","-","0","40530 (-) 41555","40530","41555","0.8277","false","-","40530 (-) 41555"
"32","-15.995","-15","0.8519","Cosine","-","0","41665 (-) 40804","41665","40804","0.8519","false","-","41665 (-) 40804"
"32","10.91","10","0.8511","Cosine","-","0","41665 (-) 19493","41665","19493","0.8511","false","-","41665 (-) 19493"
"238","-16.034","-16","0.7983","Cosine","-","0","4663 (-) 13261","4663","13261","0.7983","false","-","4663 (-) 13261"
"2266","0.003","0","0.8464","Cosine","-","0","6026 (-) 20161","6026","20161","0.8464","false","-","6026 (-) 20161"
"956","0.959","0","0.8515","Cosine","-","0","3574 (-) 6552","3574","6552","0.8515","false","-","3574 (-) 6552"
"14","-339.937","-339","0.7001","Cosine","-","0","837 (-) 850","837","850","0.7001","false","-","837 (-) 850"
"1028","-28.031","-28","0.9778","Cosine","-","0","19973 (-) 27155","19973","27155","0.9778","false","-","19973 (-) 27155"
"211","-43.99","-43","0.8715","Cosine","-","0","9882 (-) 10191","9882","10191","0.8715","false","-","9882 (-) 10191"
"37","-104.062","-104","0.9039","Cosine","-","0","2535 (-) 13280","2535","13280","0.9039","false","-","2535 (-) 13280"
"1","88.053","88","0.9379","Cosine","-","0","42316 (-) 42274","42316","42274","0.9379","false","-","42316 (-) 42274"
"99","-55.01","-55","0.773","Cosine","-","0","32830 (-) 42156","32830","42156","0.773","false","-","32830 (-) 42156"
"174","14.022","14","0.8674","Cosine","-","0","14088 (-) 16196","14088","16196","0.8674","false","-","14088 (-) 16196"
"194","30.01","30","0.797","Cosine","-","0","2507 (-) 2777","2507","2777","0.797","false","-","2507 (-) 2777"
"576","44.027","44","0.8471","Cosine","-","0","40540 (-) 40509","40540","40509","0.8471","false","-","40540 (-) 40509"
"310","0.994","0","0.8144","Cosine","-","0","15817 (-) 4417","15817","4417","0.8144","false","-","15817 (-) 4417"
"109","-12.0","-12","0.9181","Cosine","-","0","18427 (-) 19967","18427","19967","0.9181","false","-","18427 (-) 19967"
"375","2.014","2","0.8316","Cosine","-","0","7974 (-) 8875","7974","8875","0.8316","false","-","7974 (-) 8875"
"1303","15.995","15","0.8024","Cosine","-","0","21836 (-) 20328","21836","20328","0.8024","false","-","21836 (-) 20328"
"37","-123.011","-123","0.936","Cosine","-","0","17566 (-) 8492","17566","8492","0.936","false","-","17566 (-) 8492"
"678","-43.033","-43","0.8459","Cosine","-","0","24963 (-) 24918","24963","24918","0.8459","false","-","24963 (-) 24918"
"157","-14.016","-14","0.9162","Cosine","-","0","10409 (-) 13798","10409","13798","0.9162","false","-","10409 (-) 13798"
"1499","31.988","31","0.7711","Cosine","-","0","1756 (-) 19238","1756","19238","0.7711","false","-","1756 (-) 19238"
"174","-220.132","-220","0.881","Cosine","-","0","11232 (-) 14088","11232","14088","0.881","false","-","11232 (-) 14088"
"99","61.053","61","0.8226","Cosine","-","0","34479 (-) 32830","34479","32830","0.8226","false","-","34479 (-) 32830"
"99","-116.063","-116","0.9248","Cosine","-","0","34479 (-) 42156","34479","42156","0.9248","false","-","34479 (-) 42156"
"37","14.016","14","0.9568","Cosine","-","0","2456 (-) 2535","2456","2535","0.9568","false","-","2456 (-) 2535"
"331","-16.031","-16","0.8405","Cosine","-","0","9078 (-) 4563","9078","4563","0.8405","false","-","9078 (-) 4563"
"651","-14.016","-14","0.7788","Cosine","-","0","2567 (-) 5057","2567","5057","0.7788","false","-","2567 (-) 5057"
"246","0.0","0","0.8491","Cosine","-","0","5640 (-) 5501","5640","5501","0.8491","false","-","5640 (-) 5501"
"21","14.015","14","0.9121","Cosine","-","0","2011 (-) 928","2011","928","0.9121","false","-","2011 (-) 928"
"1499","-14.016","-14","0.903","Cosine","-","0","36051 (-) 32683","36051","32683","0.903","false","-","36051 (-) 32683"
"674","-28.03","-28","0.9263","Cosine","-","0","6100 (-) 6679","6100","6679","0.9263","false","-","6100 (-) 6679"
