Sample Type,File Name,Position,Run_Order
Unknown,Blank_1,B:A1,1
Unknown,Blank_2,B:A1,2
Unknown,Blank_3,B:A1,3
Unknown,sixmix_1,B:A2,4
Unknown,pool_qc_veoIBD_1,B:A3,5
Unknown,pool_qc_veoIBD_2,B:A3,6
Unknown,pool_qc_veoIBD_3,B:A3,7
Unknown,pool_qc_veoIBD_4,B:A3,8
Unknown,PT_AC_001,R:A1,9
Unknown,PT_AC_038,R:B11,10
Unknown,PT_S81,R:A10,11
Unknown,HC_16,R:A5,12
Unknown,HC_47,R:C11,13
Unknown,HC_36,R:C5,14
Unknown,PT_AC_025,R:B4,15
Unknown,PT_S83,R:B6,16
Unknown,PT_AC_175,R:E6,17
Unknown,PT_S97,R:C9,18
Unknown,pool_qc_veoIBD_5,B:A3,19
Unknown,sixmix_2,B:A2,20
Unknown,HC_12,R:E11,21
Unknown,HC_42,R:B8,22
Unknown,PT_CHANG_001,R:E1,23
Unknown,HC_10,R:B2,24
Unknown,PT_AI_021,R:A2,25
Unknown,PT_S78,R:A3,26
Unknown,PT_AC_123,R:D3,27
Unknown,HC_09,R:C10,28
Unknown,HC_18,R:D6,29
Unknown,HC_45,R:B3,30
Unknown,pool_qc_veoIBD_6,B:A3,31
Unknown,sixmix_3,B:A2,32
Unknown,HC_17,R:B10,33
Unknown,HC_37,R:E9,34
Unknown,HC_19,R:E10,35
Unknown,HC_24,R:D7,36
Unknown,HC_20,R:B1,37
Unknown,HC_21,R:D8,38
Unknown,PT_AC_020,R:A8,39
Unknown,HC_25,R:A7,40
Unknown,PT_S90,R:C2,41
Unknown,PT_S60,R:C1,42
Unknown,pool_qc_veoIBD_7,B:A3,43
Unknown,sixmix_4,B:A2,44
Unknown,PT_S63,R:D4,45
Unknown,HC_03,R:E2,46
Unknown,HC_99,R:D2,47
Unknown,HC_02,R:E3,48
Unknown,PT_AC_153,R:D10,49
Unknown,PT_S77,R:E7,50
Unknown,PT_PANDY_002,R:A4,51
Unknown,HC_05,R:C4,52
Unknown,PT_RODRI_001,R:E8,53
Unknown,PT_IDDI_136,R:C3,54
Unknown,pool_qc_veoIBD_8,B:A3,55
Unknown,sixmix_5,B:A2,56
Unknown,HC_06,R:E5,57
Unknown,HC_22,R:E4,58
Unknown,HC_07,R:C6,59
Unknown,PT_BHATT_018,R:B7,60
Unknown,PT_PEDRZ_012,R:A11,61
Unknown,HC_98,R:D9,62
Unknown,HC_43,R:A6,63
Unknown,PT_S25,R:B5,64
Unknown,PT_AC_095,R:C7,65
Unknown,PT_S69,R:D11,66
Unknown,pool_qc_veoIBD_9,B:A3,67
Unknown,sixmix_6,B:A2,68
Unknown,HC_97,R:F1,69
Unknown,HC_13,R:D1,70
Unknown,HC_15,R:B9,71
Unknown,PT_S8,R:A9,72
Unknown,PT_S61,R:C8,73
Unknown,PT_S98,R:D5,74
Unknown,pool_qc_veoIBD_10,B:A3,75
Unknown,sixmix_7,B:A2,76
Unknown,Blank_4,B:A1,77
Unknown,Blank_5,B:A1,78
Unknown,Blank_6,B:A1,79
